,disney university,contemporary resort,grand floridian,Wilderness Lodge,Port Orleans,Disney Springs,Saratoga Springs,POP Century,Art of Animation,Riviera Resort,Epcot,Yacht and Beach Club,Boardwalk,Hollywood Studios,Typhoon Lagoon,Wide World of Sports,All Star,Blizzard Beach,Animal Kingdom,Animal Kingdom Lodge
disney university,0,2.6,3.6,3.9,12.5,18.9,14.9,24.8,22.8,24,11.3,10.9,10.9,23.8,19.9,23,10.5,10.6,12.8,20.7
contemporary resort,2.6,0,4.6,2.9,8.2,12.9,14.7,12.8,11.9,12,10.2,9.8,9.8,12.8,11.5,12,9.4,9.5,11.8,16.2
grand floridian,3.6,4.6,0,2.7,10,12.3,14.1,12.2,11.3,11.4,9.6,9.2,9.2,12.2,10.9,11.3,8.8,8.9,11.2,15.6
Wilderness Lodge,3.9,2.9,2.7,0,6.9,11.6,13.4,11.5,10.6,10.7,8.9,8.5,8.5,11.5,10.2,10.6,8.1,8.2,10.5,14.9
Port Orleans,12.5,8.2,10,6.9,0,4.8,5.5,7.6,6.4,6.8,15.8,7,7,8.6,3.4,7.8,8.5,8.5,11.4,16.5
Disney Springs,18.9,12.9,12.3,11.6,4.8,0,2.1,8.7,7.6,8,21.4,8.1,8.1,11.5,5.3,10.7,12,11.4,14.3,17.2
Saratoga Springs,14.9,14.7,14.1,13.4,5.5,2.1,0,8.6,7.5,7.8,19.2,8,8,11.8,5.2,8.8,9.6,11.7,14.6,17.5
POP Century,24.8,12.8,12.2,11.5,7.6,8.7,8.6,0,1.6,2.7,17,4.9,4.9,4.5,4.1,3.7,5,4.4,7.3,11.4
Art of Animation,22.8,11.9,11.3,10.6,6.4,7.6,7.5,1.6,0,2.3,15.9,4.6,4.6,3.3,3.8,2.6,3.8,3.2,6.2,10.2
Riviera Resort,24,12,11.4,10.7,6.8,8,7.8,2.7,2.3,0,15.7,4.5,4.5,5.1,2.6,4.3,5.6,5,7.9,12
Epcot,11.3,10.2,9.6,8.9,15.8,21.4,19.2,17,15.9,15.7,0,4,4,5.6,1.6,4.9,5.6,5.5,8.5,14.2
Yacht and Beach Club,10.9,9.8,9.2,8.5,7,8.1,8,4.9,4.6,4.5,4,0,0,7.2,4.9,6.4,4.7,5.5,7.1,12.2
Boardwalk,10.9,9.8,9.2,8.5,7,8.1,8,4.9,4.6,4.5,4,0,0,7.2,4.9,6.4,4.7,5.5,7.1,12.2
Hollywood Studios,23.8,12.8,12.2,11.5,8.6,11.5,11.8,4.5,3.3,5.1,5.6,7.2,7.2,0,4.5,6,4.4,5.2,6.7,11.8
Typhoon Lagoon,19.9,11.5,10.9,10.2,3.4,5.3,5.2,4.1,3.8,2.6,1.6,4.9,4.9,4.5,0,11.8,13.1,12.5,15.4,18.3
Wide World of Sports,23,12,11.3,10.6,7.8,10.7,8.8,3.7,2.6,4.3,4.9,6.4,6.4,6,11.8,0,4.5,4,6.9,11
All Star,10.5,9.4,8.8,8.1,8.5,12,9.6,5,3.8,5.6,5.6,4.7,4.7,4.4,13.1,4.5,0,4.2,3.1,9.1
Blizzard Beach,10.6,9.5,8.9,8.2,8.5,11.4,11.7,4.4,3.2,5,5.5,5.5,5.5,5.2,12.5,4,4.2,0,2.9,11.5
Animal Kingdom,12.8,11.8,11.2,10.5,11.4,14.3,14.6,7.3,6.2,7.9,8.5,7.1,7.1,6.7,15.4,6.9,3.1,2.9,0,2.2
Animal Kingdom Lodge,20.7,16.2,15.6,14.9,16.5,17.2,17.5,11.4,10.2,12,14.2,12.2,12.2,11.8,18.3,11,9.1,11.5,2.2,0
