,disney university,contemporary resort,grand floridian,Wilderness Lodge,Port Orleans,Disney Springs,Saratoga Springs,POP Century,Art of Animation,Riviera Resort,Epcot,Yacht and Beach Club,Boardwalk,Hollywood Studios,Typhoon Lagoon,Wide World of Sports,All Star,Blizzard Beach,Animal Kingdom,Animal Kingdom Lodge
disney university,0,00:08:29,00:07:54,00:08:45,00:13:26,00:17:55,00:16:09,00:26:34,00:21:09,00:23:17,00:15:58,00:16:48,00:16:48,00:23:25,00:17:34,00:24:30,00:15:00,00:14:27,00:18:39,00:22:42
contemporary resort,00:08:29,0,00:09:55,00:05:45,00:12:43,00:15:28,00:19:40,00:20:02,00:14:22,00:16:45,00:12:58,00:13:53,00:13:53,00:17:07,00:13:18,00:17:04,00:12:05,00:11:32,00:15:39,00:19:11
grand floridian,00:07:54,00:09:55,0,00:06:43,00:13:40,00:14:29,00:18:35,00:18:58,00:13:23,00:15:41,00:11:59,00:12:49,00:12:49,00:16:03,00:12:14,00:16:05,00:11:01,00:10:28,00:14:40,00:18:12
Wilderness Lodge,00:08:45,00:05:45,00:06:43,0,00:10:28,00:13:13,00:17:20,00:17:42,00:12:07,00:14:25,00:10:43,00:11:33,00:11:33,00:14:47,00:10:58,00:14:49,00:09:45,00:09:12,00:13:24,00:16:56
Port Orleans,00:13:26,00:12:43,00:13:40,00:10:28,0,00:07:48,00:09:46,00:15:40,00:11:03,00:12:23,00:17:15,00:11:31,00:11:31,00:14:32,00:05:33,00:15:11,00:11:59,00:11:12,00:15:49,00:18:39
Disney Springs,00:17:55,00:15:28,00:14:29,00:13:13,00:07:48,0,00:06:28,00:16:39,00:12:02,00:13:22,00:20:51,00:12:30,00:12:30,00:13:58,00:07:59,00:15:03,00:12:07,00:10:38,00:15:15,00:18:13
Saratoga Springs,00:16:09,00:19:40,00:18:35,00:17:20,00:09:46,00:06:28,0,00:17:17,00:12:40,00:14:00,00:21:01,00:13:08,00:13:08,00:15:42,00:08:37,00:16:48,00:13:36,00:12:22,00:16:59,00:19:57
POP Century,00:26:34,00:20:02,00:18:58,00:17:42,00:15:40,00:16:39,00:17:17,0,00:06:14,00:07:36,00:19:06,00:09:54,00:09:54,00:10:34,00:06:52,00:11:13,00:08:43,00:07:14,00:11:51,00:16:18
Art of Animation,00:21:09,00:14:22,00:13:23,00:12:07,00:11:03,00:12:02,00:12:40,00:06:14,0,00:05:49,00:16:19,00:08:07,00:08:07,00:07:47,00:05:05,00:08:26,00:05:56,00:04:27,00:09:04,00:13:31
Riviera Resort,00:23:17,00:16:45,00:15:41,00:14:25,00:12:23,00:13:22,00:14:00,00:07:36,00:05:49,0,00:18:26,00:09:27,00:09:27,00:11:16,00:05:04,00:11:55,00:09:25,00:07:56,00:12:33,00:17:00
Epcot,00:15:58,00:12:58,00:11:59,00:10:43,00:17:15,00:20:51,00:21:01,00:19:06,00:16:19,00:18:26,0,00:07:17,00:07:17,00:10:18,00:02:51,00:10:57,00:07:45,00:06:58,00:11:35,00:15:32
Yacht and Beach Club,00:16:48,00:13:53,00:12:49,00:11:33,00:11:31,00:12:30,00:13:08,00:09:54,00:08:07,00:09:27,00:07:17,0,00:00:00,00:13:18,00:07:42,00:13:57,00:08:09,00:08:29,00:11:48,00:16:13
Boardwalk,00:16:48,00:13:53,00:12:49,00:11:33,00:11:31,00:12:30,00:13:08,00:09:54,00:08:07,00:09:27,00:07:17,00:00:00,0,00:13:18,00:07:42,00:13:57,00:08:09,00:08:29,00:11:48,00:16:13
Hollywood Studios,00:23:25,00:17:07,00:16:03,00:14:47,00:14:32,00:13:58,00:15:42,00:10:34,00:07:47,00:11:16,00:10:18,00:13:18,00:13:18,0,00:07:51,00:14:06,00:08:52,00:09:12,00:12:31,00:16:56
Typhoon Lagoon,00:17:34,00:13:18,00:12:14,00:10:58,00:05:33,00:07:59,00:08:37,00:06:52,00:05:05,00:05:04,00:02:51,00:07:42,00:07:42,00:07:51,0,00:14:57,00:12:01,00:10:32,00:15:09,00:18:07
Wide World of Sports,00:24:30,00:17:04,00:16:05,00:14:49,00:15:11,00:15:03,00:16:48,00:11:13,00:08:26,00:11:55,00:10:57,00:13:57,00:13:57,00:14:06,00:14:57,0,00:10:38,00:09:09,00:13:46,00:18:13
All Star,00:15:00,00:12:05,00:11:01,00:09:45,00:11:59,00:12:07,00:13:36,00:08:43,00:05:56,00:09:25,00:07:45,00:08:09,00:08:09,00:08:52,00:12:01,00:10:38,0,00:05:29,00:05:34,00:13:25
Blizzard Beach,00:14:27,00:11:32,00:10:28,00:09:12,00:11:12,00:10:38,00:12:22,00:07:14,00:04:27,00:07:56,00:06:58,00:08:29,00:08:29,00:09:12,00:10:32,00:09:09,00:05:29,0,00:05:01,00:13:52
Animal Kingdom,00:18:39,00:15:39,00:14:40,00:13:24,00:15:49,00:15:15,00:16:59,00:11:51,00:09:04,00:12:33,00:11:35,00:11:48,00:11:48,00:12:31,00:15:09,00:13:46,00:05:34,00:05:01,0,00:05:24
Animal Kingdom Lodge,00:22:42,00:19:11,00:18:12,00:16:56,00:18:39,00:18:13,00:19:57,00:16:18,00:13:31,00:17:00,00:15:32,00:16:13,00:16:13,00:16:56,00:18:07,00:18:13,00:13:25,00:13:52,00:05:24,0
